Go, Nogo, Block, Condition,Box,GoImg,NoGoImg,Scrambled_Words,Scrambled_Pictures
fountain,,,,,/Stimuli/ManMade/handcuffs.jpg,,/Stimuli/Scrambled/Slide161S0.JPG,/Stimuli/Scrambled/fanheaterS0.jpg
fridge,,,,,/Stimuli/ManMade/harmonica.jpg,,/Stimuli/Scrambled/Slide162S0.JPG,/Stimuli/Scrambled/faucetS0.jpg
frisbee,,,,,/Stimuli/ManMade/headlight.jpg,,/Stimuli/Scrambled/Slide163S0.JPG,/Stimuli/Scrambled/ferryS0.jpg
funnel,,,,,/Stimuli/ManMade/helicopter.jpg,,/Stimuli/Scrambled/Slide164S0.JPG,/Stimuli/Scrambled/fileS0.jpg
gate,,,,,/Stimuli/ManMade/hose.jpg,,/Stimuli/Scrambled/Slide165S0.JPG,/Stimuli/Scrambled/fireplaceS0.jpg
gazebo,,,,,/Stimuli/ManMade/ipad02.jpg,,/Stimuli/Scrambled/Slide166S0.JPG,/Stimuli/Scrambled/floorlampS0.jpg
gong,,,,,/Stimuli/ManMade/ipod.jpg,,/Stimuli/Scrambled/Slide167S0.JPG,/Stimuli/Scrambled/floortile02S0.jpg
guitar,,,,,/Stimuli/ManMade/jeans01.jpg,,/Stimuli/Scrambled/Slide168S0.JPG,/Stimuli/Scrambled/fridgeS0.jpg
gun,,,,,/Stimuli/ManMade/jeep.jpg,,/Stimuli/Scrambled/Slide169S0.JPG,/Stimuli/Scrambled/frisbeeS0.jpg
hammer,,,,,/Stimuli/ManMade/kalashnikov.jpg,,/Stimuli/Scrambled/Slide16S0.JPG,/Stimuli/Scrambled/funnelS0.jpg
handcuffs,,,,,/Stimuli/ManMade/key07.jpg,,/Stimuli/Scrambled/Slide170S0.JPG,/Stimuli/Scrambled/gardenutilityvehicleS0.jpg
harmonica,,,,,/Stimuli/ManMade/keyhole.jpg,,/Stimuli/Scrambled/Slide171S0.JPG,/Stimuli/Scrambled/gazeboS0.jpg
hat,,,,,/Stimuli/ManMade/kite.jpg,,/Stimuli/Scrambled/Slide172S0.JPG,/Stimuli/Scrambled/giraffeS0.jpg
headlight,,,,,/Stimuli/ManMade/knife03.jpg,,/Stimuli/Scrambled/Slide173S0.JPG,/Stimuli/Scrambled/gongS0.jpg
helicopter,,,,,/Stimuli/ManMade/ladder.jpg,,/Stimuli/Scrambled/Slide174S0.JPG,/Stimuli/Scrambled/grandpianoS0.jpg
helmet,,,,,/Stimuli/ManMade/lamppost01.jpg,,/Stimuli/Scrambled/Slide175S0.JPG,/Stimuli/Scrambled/greathornowlS0.jpg
hose,,,,,/Stimuli/ManMade/lantern03.jpg,,/Stimuli/Scrambled/Slide176S0.JPG,/Stimuli/Scrambled/greatwhitesharkS0.jpg
ipad,,,,,/Stimuli/ManMade/leafrake.jpg,,/Stimuli/Scrambled/Slide177S0.JPG,/Stimuli/Scrambled/handcuffsS0.jpg
iphone,,,,,/Stimuli/ManMade/lectern01.jpg,,/Stimuli/Scrambled/Slide178S0.JPG,/Stimuli/Scrambled/harmonicaS0.jpg
jeans,,,,,/Stimuli/ManMade/lighthouse.jpg,,/Stimuli/Scrambled/Slide179S0.JPG,/Stimuli/Scrambled/headlightS0.jpg
jeep,,,,,/Stimuli/ManMade/locker.jpg,,/Stimuli/Scrambled/Slide17S0.JPG,/Stimuli/Scrambled/helicopterS0.jpg
keyhole,,,,,/Stimuli/ManMade/machete.jpg,,/Stimuli/Scrambled/Slide180S0.JPG,/Stimuli/Scrambled/henS0.jpg
keys,,,,,/Stimuli/ManMade/magneticcompass.jpg,,/Stimuli/Scrambled/Slide181S0.JPG,/Stimuli/Scrambled/hippopotamusS0.jpg
kite,,,,,/Stimuli/ManMade/maraca01.jpg,,/Stimuli/Scrambled/Slide182S0.JPG,/Stimuli/Scrambled/holdfastS0.jpg
knife,,,,,/Stimuli/ManMade/marble.jpg,,/Stimuli/Scrambled/Slide183S0.JPG,/Stimuli/Scrambled/honeybeeS0.jpg
ladder,,,,,/Stimuli/ManMade/masquerademask01.jpg,,/Stimuli/Scrambled/Slide184S0.JPG,/Stimuli/Scrambled/horseS0.jpg
lamp,,,,,/Stimuli/ManMade/mattress.jpg,,/Stimuli/Scrambled/Slide185S0.JPG,/Stimuli/Scrambled/hoseS0.jpg
lamppost,,,,,/Stimuli/ManMade/microphone01.jpg,,/Stimuli/Scrambled/Slide186S0.JPG,/Stimuli/Scrambled/ipad02S0.jpg
lighthouse,,,,,/Stimuli/ManMade/microwave.jpg,,/Stimuli/Scrambled/Slide187S0.JPG,/Stimuli/Scrambled/ipodS0.jpg
lock,,,,,/Stimuli/ManMade/mirror02.jpg,,/Stimuli/Scrambled/Slide188S0.JPG,/Stimuli/Scrambled/jackrabbitS0.jpg
locker,,,,,/Stimuli/ManMade/morningstar.jpg,,/Stimuli/Scrambled/Slide189S0.JPG,/Stimuli/Scrambled/jeans01S0.jpg
mace,,,,,/Stimuli/ManMade/motorboat02.jpg,,/Stimuli/Scrambled/Slide18S0.JPG,/Stimuli/Scrambled/jeepS0.jpg
machete,,,,,/Stimuli/ManMade/motorcycle.jpg,,/Stimuli/Scrambled/Slide190S0.JPG,/Stimuli/Scrambled/jellyfishS0.jpg
map,,,,,/Stimuli/ManMade/mug05.jpg,,/Stimuli/Scrambled/Slide191S0.JPG,/Stimuli/Scrambled/kalashnikovS0.jpg
maraca,,,,,/Stimuli/ManMade/oven.jpg,,/Stimuli/Scrambled/Slide192S0.JPG,/Stimuli/Scrambled/kangarooS0.jpg
mattress,,,,,/Stimuli/ManMade/paninigrill.jpg,,/Stimuli/Scrambled/Slide193S0.JPG,/Stimuli/Scrambled/key07S0.jpg
microphone,,,,,/Stimuli/ManMade/parachute.jpg,,/Stimuli/Scrambled/Slide194S0.JPG,/Stimuli/Scrambled/keyholeS0.jpg
microwave,,,,,/Stimuli/ManMade/parkfountain.jpg,,/Stimuli/Scrambled/Slide195S0.JPG,/Stimuli/Scrambled/kiteS0.jpg
mirror,,,,,/Stimuli/ManMade/pilgrimhat.jpg,,/Stimuli/Scrambled/Slide196S0.JPG,/Stimuli/Scrambled/knife03S0.jpg
motorcycle,,,,,/Stimuli/ManMade/pillar.jpg,,/Stimuli/Scrambled/Slide197S0.JPG,/Stimuli/Scrambled/ladderS0.jpg
mug,,,,,/Stimuli/ManMade/pitchfork.jpg,,/Stimuli/Scrambled/Slide198S0.JPG,/Stimuli/Scrambled/ladybug03S0.jpg
paddle,,,,,/Stimuli/ManMade/record.jpg,,/Stimuli/Scrambled/Slide199S0.JPG,/Stimuli/Scrambled/lamppost01S0.jpg
parachute,,,,,/Stimuli/ManMade/recorder04.jpg,,/Stimuli/Scrambled/Slide19S0.JPG,/Stimuli/Scrambled/lantern03S0.jpg
piano,,,,,/Stimuli/ManMade/recyclingbin.jpg,,/Stimuli/Scrambled/Slide1S0.JPG,/Stimuli/Scrambled/leafrakeS0.jpg
pillar,,,,,/Stimuli/ManMade/revolver.jpg,,/Stimuli/Scrambled/Slide200S0.JPG,/Stimuli/Scrambled/lectern01S0.jpg
pitchfork,,,,,/Stimuli/ManMade/safe.jpg,,/Stimuli/Scrambled/Slide201S0.JPG,/Stimuli/Scrambled/lighthouseS0.jpg
podium,,,,,/Stimuli/ManMade/saxophone.jpg,,/Stimuli/Scrambled/Slide202S0.JPG,/Stimuli/Scrambled/lionS0.jpg
pot,,,,,/Stimuli/ManMade/scanner.jpg,,/Stimuli/Scrambled/Slide203S0.JPG,/Stimuli/Scrambled/lockerS0.jpg
rake,,,,,/Stimuli/ManMade/scooter.jpg,,/Stimuli/Scrambled/Slide204S0.JPG,/Stimuli/Scrambled/macheteS0.jpg
record,,,,,/Stimuli/ManMade/securitycamera.jpg,,/Stimuli/Scrambled/Slide205S0.JPG,/Stimuli/Scrambled/magneticcompassS0.jpg
recorder,,,,,/Stimuli/ManMade/servingspoon01.jpg,,/Stimuli/Scrambled/Slide206S0.JPG,/Stimuli/Scrambled/maraca01S0.jpg
rifle,,,,,/Stimuli/ManMade/shelf.jpg,,/Stimuli/Scrambled/Slide207S0.JPG,/Stimuli/Scrambled/marbleS0.jpg
rocket,,,,,/Stimuli/ManMade/shield02.jpg,,/Stimuli/Scrambled/Slide208S0.JPG,/Stimuli/Scrambled/masquerademask01S0.jpg
rug,,,,,/Stimuli/ManMade/shovel01.jpg,,/Stimuli/Scrambled/Slide209S0.JPG,/Stimuli/Scrambled/mattressS0.jpg
safe,,,,,/Stimuli/ManMade/sink.jpg,,/Stimuli/Scrambled/Slide20S0.JPG,/Stimuli/Scrambled/microphone01S0.jpg
saxophone,,,,,/Stimuli/ManMade/skateboard.jpg,,/Stimuli/Scrambled/Slide210S0.JPG,/Stimuli/Scrambled/microwaveS0.jpg
scanner,,,,,/Stimuli/ManMade/skihelmet01.jpg,,/Stimuli/Scrambled/Slide211S0.JPG,/Stimuli/Scrambled/mirror02S0.jpg
schoolbus,,,,,/Stimuli/ManMade/sledgehammer.jpg,,/Stimuli/Scrambled/Slide212S0.JPG,/Stimuli/Scrambled/monarchbutterflyS0.jpg
scooter,,,,,/Stimuli/ManMade/snowboard.jpg,,/Stimuli/Scrambled/Slide213S0.JPG,/Stimuli/Scrambled/mooseS0.jpg
shelf,,,,,/Stimuli/ManMade/snowman.jpg,,/Stimuli/Scrambled/Slide214S0.JPG,/Stimuli/Scrambled/morningstarS0.jpg
shield,,,,,/Stimuli/ManMade/soccerball.jpg,,/Stimuli/Scrambled/Slide215S0.JPG,/Stimuli/Scrambled/motorboat02S0.jpg
shoe,,,,,/Stimuli/ManMade/spacerocket.jpg,,/Stimuli/Scrambled/Slide216S0.JPG,/Stimuli/Scrambled/motorcycleS0.jpg
shovel,,,,,/Stimuli/ManMade/spear02.jpg,,/Stimuli/Scrambled/Slide217S0.JPG,/Stimuli/Scrambled/mug05S0.jpg
skateboard,,,,,/Stimuli/ManMade/stairs.jpg,,/Stimuli/Scrambled/Slide218S0.JPG,/Stimuli/Scrambled/ostrichS0.jpg
skis,,,,,/Stimuli/ManMade/statue.jpg,,/Stimuli/Scrambled/Slide219S0.JPG,/Stimuli/Scrambled/ovenS0.jpg
snowboard,,,,,/Stimuli/ManMade/stool01.jpg,,/Stimuli/Scrambled/Slide21S0.JPG,/Stimuli/Scrambled/pandaS0.jpg
